y_m,AVL_LiftPerSpan_Npm,Shear_N,BendingMoment_Nm,Curvature_1pm,Slope_rad,Deflection_m,ThetaCoupling_rad,ThetaTotal_rad
0,411.07325,885.842930337969,1123.96840846923,0.0437737431060145,0,0,0,0
0.03,403.00422826087,873.631768164056,1097.5762879917,0.0427458833431411,0.00129779439673733,1.946691595106e-05,-4.0515999351395e-05,-4.0515999351395e-05
0.06,399.236923076923,861.598150893989,1071.54783920583,0.0417321870310246,0.00256496545234982,7.74083136873673e-05,-8.00759649332875e-05,-8.00759649332875e-05
0.09,398.106153846154,849.638004740143,1045.87929687132,0.0407325075297234,0.00380193587076104,0.00017291183353403,-0.000118693093190305,-0.000118693093190305
0.12,396.954505617978,837.712094848181,1020.56904537749,0.0397467819181395,0.00500912521247898,0.00030507774978263,-0.000156380482432404,-0.000156380482432404
0.15,395.715741573034,825.822041140315,995.616033337667,0.038774969249276,0.00618695147999021,0.000473018900169668,-0.000193151182329484,-0.000193151182329484
0.18,394.47697752809,813.969150353799,971.019165465255,0.0378170268664239,0.00733583142172571,0.000675860643695407,-0.000229018203400933,-0.000229018203400933
0.21,393.238213483146,802.15342248863,946.777326872619,0.0368729113494969,0.00845618049496452,0.000912740822445761,-0.00026399451585751,-0.00026399451585751
0.24,391.869144508671,790.376812118753,922.889373353508,0.0359425781365749,0.0095484128372556,0.00118280972242906,-0.000298093048709162,-0.000298093048709162
0.27,390.42463583815,778.64240541355,899.354085090524,0.0350259797210083,0.0106129412051194,0.00148523003306469,-0.00033132668785134,-0.00033132668785134
0.3,388.98012716763,766.951333968464,876.170178999794,0.0341230661321898,0.0116501768929173,0.00181917680453524,-0.000363708273532182,-0.000363708273532182
0.33,387.53561849711,755.303597783493,853.336355023514,0.0332337867384505,0.0126605296859769,0.00218383740321865,-0.000395250598889107,-0.000395250598889107
0.36,386.08784375,743.699245849786,830.851312369015,0.0323580908795017,0.0136444078502462,0.002578411466262,-0.000425966409625847,-0.000425966409625847
0.39,384.48003125,732.140727724786,808.713712765396,0.0314959264354384,0.0146022181099703,0.00300211085566525,-0.000455868403315526,-0.000455868403315526
0.42,382.87221875,720.630443974786,786.922145189903,0.0306472384529833,0.0155343655832966,0.00345415961106425,-0.00048496922739031,-0.00048496922739031
0.45,381.26440625,709.168394599786,765.475162611284,0.0298119705764829,0.0164412537187386,0.00393379390059478,-0.000513281477157861,-0.000513281477157861
0.48,379.65659375,697.754579599786,744.371317998291,0.0289900664502837,0.0173232842741401,0.00444026197048796,-0.000540817695144623,-0.000540817695144623
0.51,378.04878125,686.388998974786,723.609164319672,0.0281814697187321,0.0181808573166754,0.00497282409435019,-0.000567590371095823,-0.000567590371095823
0.54,376.35462152231,675.072947933201,703.187235116052,0.0273861232695325,0.0190143712114993,0.00553075252227281,-0.000593611941621144,-0.000593611941621144
0.57,374.564385301837,663.809162830839,683.104003454592,0.0266039676352077,0.0198242225750704,0.00611333142907136,-0.0006188947887375,-0.0006188947887375
0.6,372.774149081365,652.599084815091,663.357879739903,0.025834940907843,0.0206108062032162,0.00671985686074566,-0.00064345123762331,-0.00064345123762331
0.63,370.983912860892,641.442713885957,643.947252759387,0.0250789803376265,0.0213745150218982,0.00734963667912238,-0.000667293555081427,-0.000667293555081427
0.66,369.19367664042,630.340050043438,624.870511300446,0.024336023174746,0.0221157400745838,0.00800199050556961,-0.000690433949144883,-0.000690433949144883
0.69,367.403440419948,619.291093287532,606.126044150481,0.0236060066693897,0.0228348705222459,0.00867624966452205,-0.000712884569076893,-0.000712884569076893
0.72,365.595379113019,608.296110994538,587.71223608625,0.0228888679155479,0.0235322936410199,0.00937175712697104,-0.000734657505297712,-0.000734657505297712
0.75,363.660615164521,597.357271080375,569.627435355127,0.0221845425845488,0.0242083947985214,0.0100878674535642,-0.000755764788645269,-0.000755764788645269
0.78,361.725851216023,586.476474084667,551.869929177651,0.0214929639709871,0.0248635573968544,0.0108239467364948,-0.000776218388595964,-0.000776218388595964
0.81,359.791087267525,575.653720007413,534.43797626627,0.0208140642591899,0.0254981628203071,0.0115793725397522,-0.000796030211631754,-0.000796030211631754
0.84,357.856323319027,564.889008848615,517.329835333429,0.0201477756334841,0.0261125904186972,0.0123535338383373,-0.000815212100720224,-0.000815212100720224
0.87,355.921559370529,554.182340608272,500.543765091576,0.0194940302781968,0.0267072175073724,0.0131458309572283,-0.000833775835314589,-0.000833775835314589
0.9,353.986795422031,543.533715286383,484.078024253156,0.018852760377655,0.0272824193672102,0.0139556755103471,-0.000851733131353698,-0.000851733131353698
0.93,352.033252904379,532.943414561487,467.930867305438,0.0182238979516331,0.0278385692421495,0.0147824903394875,-0.000869095641184969,-0.000869095641184969
0.96,349.957649687221,522.413551022613,452.100512821677,0.0176073736212091,0.0283760383157421,0.0156257094528558,-0.000885874952832344,-0.000885874952832344
0.99,347.882046470063,511.945955580254,436.585120222634,0.017003115703725,0.0288951956556161,0.0164847779624262,-0.000902082588262492,-0.000902082588262492
1.02,345.806443252904,501.540628234409,421.382821465414,0.0164110514469318,0.029396408162876,0.0173591520197036,-0.000917730001805118,-0.000917730001805118
1.05,343.730840035746,491.197568985079,406.491748507121,0.01583110809858,0.0298800405560587,0.0182482987504876,-0.00093282857965209,-0.00093282857965209
1.08,341.655236818588,480.916777832264,391.910033304861,0.0152632129064206,0.0303464553711337,0.0191516961893955,-0.000947389639857441,-0.000947389639857441
1.11,339.57963360143,470.698254775964,377.635807815738,0.0147072931182041,0.030796012961503,0.020068833214385,-0.000961424432337368,-0.000961424432337368
1.14,337.504030384272,460.541999816179,363.667203996856,0.0141632759816814,0.0312290714980013,0.0209992094812776,-0.000974944138870229,-0.000974944138870229
1.17,335.335978494624,450.449399682995,350.002333004368,0.0136310879344954,0.031645986956744,0.0219423353580988,-0.000987959872717185,-0.000987959872717185
1.2,333.123075268817,440.422513876544,336.639254300975,0.0131106534010511,0.0320471130767772,0.0228977318586016,-0.00100048267730006,-0.00100048267730006
1.23,330.910172043011,430.462015166866,323.575986365324,0.0126018952096007,0.032432801305937,0.0238649305743423,-0.00101252352451112,-0.00101252352451112
1.26,328.697268817204,420.567903553963,310.810537584511,0.0121047357953736,0.0328034007710116,0.0248434736054965,-0.00102409331378154,-0.00102409331378154
1.29,326.484365591398,410.740179037834,298.340916345634,0.0116190975935995,0.0331592582718462,0.0258329134911394,-0.00103520287189741,-0.00103520287189741
1.32,324.271462365591,400.978841618479,286.16513103579,0.0111449030395079,0.0335007182813428,0.0268328131394372,-0.00104586295299968,-0.00104586295299968
1.35,322.058559139785,391.283891295898,274.281190042074,0.0106820745683284,0.0338281229454603,0.0278427457578393,-0.00105608423858419,-0.00105608423858419
1.38,319.845655913979,381.655328070092,262.687101751584,0.0102305346152904,0.0341418120832146,0.0288622947832694,-0.00106587733750167,-0.00106587733750167
1.41,317.496478334749,372.095196056361,251.380843889687,0.00979020442148088,0.0344421231687662,0.0298910538120491,-0.00107525278539851,-0.00107525278539851
1.44,315.1359855565,362.605709097992,240.360330312372,0.00936100274054863,0.0347293912761966,0.0309286265287236,-0.00108422104299277,-0.00108422104299277
