Name,Layup,q_div_Pa,V_div_mps,V_div_over_Vcruise,q_div_over_qcruise,Pass_1p5x_Cruise,WashBehavior,TipTwistTotal_deg,TipDeflection_mm,EI_avg_Nm2,GJ_avg_Nm2,Kbt_indicator_avg_Nm2
baseline_quasi_iso,[0/45/-45/90/90/-45/45/0],65975.4165941543,328.199582370251,8.20498955925627,67.3218536675044,1,washout,-0.0098800780753133,47.1934102361599,17519.4725510565,19625.3827800669,1074.26358785073
axial_stiff,[0/0/45/-45/-45/45/0/0],65975.4165941543,328.199582370251,8.20498955925627,67.3218536675044,1,wash-in,0.0318918962945835,32.0215790564925,25820.2024879692,19625.3827800669,612.686832403131
torsion_stiff,[45/-45/45/-45/-45/45/-45/45],115450.057573525,434.154223653253,10.8538555913313,117.806181197475,1,washout,-0.140923761615269,139.917226743926,5909.23415553648,34342.3609705745,1621.11988513913
tailored_30,[30/-30/0/90/90/0/-30/30],53606.7563493322,295.839880435435,7.39599701088588,54.7007717850329,1,washout,-0.106700418147416,33.8528007645706,24423.4933757227,15946.13823244,3185.88106718185
tailored_20,[20/-20/0/0/0/0/-20/20],36942.5054810998,245.58968761538,6.13974219038451,37.6964341643876,1,washout,-0.0700209078024399,21.5428897231506,38379.4219739538,10989.1054630403,3366.23281279743
