status,error,Name,Layup,alpha_deg,velocity_mps,equivalent_E_GPa,equivalent_G_GPa,target_wingbox_mass_kg,density_scale,equivalent_density_kgm3,structural_mass_kg,CL_raw,CL0_calibration,CL_calibrated,CD,tip_deflection_m,tip_deflection_mm,tip_deflection_abs_mm,max_abs_z_deflection_mm,failure_metric,tube_thickness_m
success,,baseline_quasi_iso,[0/45/-45/90/90/-45/45/0],4.0,40.0,52.4009817123074,19.991610738255,2.41428,1.0,1600.0,8.471517530229999,0.3837566435632517,0.384,0.7677566435632517,0.0034149509714210915,0.0,0.0,0.0,274.752084770484,-0.1716897015065897,0.006
success,,axial_stiff,[0/0/45/-45/-45/45/0/0],4.0,40.0,77.2285783397378,19.991610738255,2.41428,1.0,1600.0,8.471517530229999,0.3873595451248165,0.384,0.7713595451248165,0.003475643609547126,0.0,0.0,0.0,188.3703286218256,-0.16328748801181694,0.006
success,,torsion_stiff,[45/-45/45/-45/-45/45/-45/45],4.0,40.0,17.6746000780335,34.9832214765101,2.41428,1.0,1600.0,8.471517530229999,0.3623388971500229,0.384,0.7463388971500229,0.0030597774002218184,0.0,0.0,0.0,766.0382405513533,-0.22005919158593087,0.006
success,,tailored_30,[30/-30/0/90/90/0/-30/30],4.0,40.0,73.0510023062726,16.2437080536913,2.41428,1.0,1600.0,8.471517530229999,0.39309512897728355,0.384,0.7770951289772836,0.003575454697276431,0.0,0.0,0.0,202.47288707639282,-0.1496895082042645,0.006
success,,tailored_20,[20/-20/0/0/0/0/-20/20],4.0,40.0,114.793375378462,11.1941724266325,2.41428,1.0,1600.0,8.471517530229999,0.412645233329562,0.384,0.7966452333295619,0.003926142037357021,0.0,0.0,0.0,136.0618099863045,-0.1034259138807969,0.006
