Name,Layup,RootBendingMoment_Nm,RootTorque_Nm,TipDeflection_m,TipDeflection_mm,TipTwistTotal_deg,TipTwistAero_deg,TipTwistCoupling_deg,WashBehavior,EI_avg_Nm2,GJ_avg_Nm2,Kbt_indicator_avg_Nm2
baseline_quasi_iso,[0/45/-45/90/90/-45/45/0],570.4512237,20.57460225,0.04719341,47.19341024,-0.009880078,0.058261268,-0.068141346,washout,17519.47255,19625.38278,1074.263588
axial_stiff,[0/0/45/-45/-45/45/0/0],570.4512237,20.57460225,0.032021579,32.02157906,0.031891896,0.058261268,-0.026369372,wash-in,25820.20249,19625.38278,612.6868324
torsion_stiff,[45/-45/45/-45/-45/45/-45/45],570.4512237,20.57460225,0.139917227,139.9172267,-0.140923762,0.033294149,-0.174217911,washout,5909.234156,34342.36097,1621.119885
tailored_30,[30/-30/0/90/90/0/-30/30],570.4512237,20.57460225,0.033852801,33.85280076,-0.106700418,0.071703861,-0.17840428,washout,24423.49338,15946.13823,3185.881067
tailored_20,[20/-20/0/0/0/0/-20/20],570.4512237,20.57460225,0.02154289,21.54288972,-0.070020908,0.104048477,-0.174069385,washout,38379.42197,10989.10546,3366.232813
