Name,Layup,Mass_kg,Ex_GPa,Gxy_GPa,EI_root_Nm2,EI_tip_Nm2,EI_avg_Nm2,GJ_root_Nm2,GJ_tip_Nm2,GJ_avg_Nm2,Kbt_indicator_avg_Nm2,D16_D11,D26_D22
baseline_quasi_iso,[0/45/-45/90/90/-45/45/0],2.41428,52.4009817123074,19.991610738255,32015.5369654804,6916.22290638521,17422.1521818127,35865.1001097714,7746.86162371061,19516.3528757332,1068.29607206336,0.0613182608506069,0.232107120014855
axial_stiff,[0/0/45/-45/-45/45/0/0],2.41428,77.2285783397378,19.991610738255,47184.5054011011,10193.1308362379,25676.7717064342,35865.1001097714,7746.86162371061,19516.3528757332,609.283367567844,0.0237289708587145,0.207932870028094
torsion_stiff,[45/-45/45/-45/-45/45/-45/45],2.41428,17.6746000780335,34.9832214765101,10798.6872317597,2332.80885064378,5876.40846125322,62760.1625924241,13556.1951199636,34151.5700762935,1612.11459200884,0.274336714787358,0.274336714787359
tailored_30,[30/-30/0/90/90/0/-30/30],2.41428,73.0510023062726,16.2437080536913,44632.1230686515,9641.74713861089,24287.8212893273,29141.3344891082,6294.52824964737,15857.5485755931,3168.18355254941,0.130443299743052,0.201725480693243
tailored_20,[20/-20/0/0/0/0/-20/20],2.41428,114.793375378462,11.1941724266325,70135.5477078442,15151.1774464966,38166.224943793,20082.4295742696,4337.80478804223,10928.0548771345,3347.5334473144,0.0877093150355917,0.126786420445412
